time,yo,
4.277,738,
4.284,742,
4.291,734,
4.298,739,
4.305,744,
4.312,732,
4.32,739,
4.327,738,
4.334,752,
4.341,743,
4.348,743,
4.355,748,
4.362,744,
4.37,748,
4.377,749,
4.384,744,
4.391,750,
4.398,749,
4.405,742,
4.412,749,
4.42,742,
4.427,738,
4.434,738,
4.441,734,
4.449,729,
4.455,737,
4.462,733,
4.47,730,
4.477,739,
4.484,730,
4.491,735,
4.498,739,
4.505,733,
4.512,735,
4.52,738,
4.527,730,
4.534,735,
4.541,735,
4.548,733,
4.555,741,
4.562,733,
4.57,734,
4.577,743,
4.584,735,
4.591,733,
4.598,740,
4.605,736,
4.612,735,
4.62,741,
4.627,734,
4.634,737,
4.641,739,
4.648,734,
4.655,740,
4.662,737,
4.67,734,
4.677,744,
4.684,740,
4.691,739,
4.698,745,
4.705,738,
4.712,740,
4.72,741,
4.727,732,
4.734,736,
4.741,737,
4.748,728,
4.755,738,
4.762,732,
4.77,726,
4.777,735,
4.784,735,
4.791,749,
4.798,788,
4.805,813,
4.812,821,
4.82,789,
4.827,744,
4.834,720,
4.841,727,
4.848,722,
4.855,727,
4.862,726,
4.87,721,
4.877,728,
4.884,725,
4.891,737,
4.898,727,
4.905,731,
4.912,734,
4.92,730,
4.927,732,
4.934,738,
4.941,727,
4.948,739,
4.955,736,
4.962,729,
4.97,740,
4.977,737,
4.984,733,
4.991,741,
4.998,741,
5.005,736,
5.012,746,
5.02,737,
5.027,740,
5.034,745,
5.041,738,
5.048,747,
5.055,751,
5.062,736,
5.07,739,
5.077,744,
5.084,736,
5.091,739,
5.098,735,
5.105,731,
5.112,737,
5.12,733,
5.127,731,
5.134,735,
5.141,729,
5.148,734,
5.155,736,
5.162,734,
5.17,734,
5.177,737,
5.184,729,
5.191,735,
5.198,739,
5.205,730,
5.212,737,
5.22,741,
5.227,732,
5.234,736,
5.241,738,
5.248,735,
5.255,743,
5.262,737,
5.27,737,
5.277,740,
5.284,735,
5.291,737,
5.298,735,
5.305,736,
5.312,736,
5.32,737,
5.327,730,
5.334,738,
5.341,737,
5.348,728,
5.355,741,
5.362,739,
5.37,736,
5.377,745,
5.384,738,
5.391,740,
5.398,741,
5.405,737,
5.412,739,
5.42,731,
5.427,737,
5.434,733,
5.441,732,
5.448,737,
5.455,737,
5.462,750,
5.47,785,
5.477,815,
5.484,821,
5.491,793,
5.498,751,
5.505,726,
5.512,731,
5.52,726,
5.527,730,
5.534,733,
5.541,725,
5.548,731,
5.555,733,
5.562,728,
5.57,737,
5.577,733,
5.584,726,
5.591,736,
5.598,729,
5.605,739,
5.612,741,
5.62,733,
5.627,733,
5.634,739,
5.641,732,
5.648,738,
5.655,743,
5.662,735,
5.67,744,
5.677,741,
5.684,740,
5.691,745,
5.698,741,
5.705,745,
5.712,755,
5.72,744,
5.727,746,
5.734,750,
5.741,741,
5.748,747,
5.755,748,
5.762,739,
5.77,742,
5.777,741,
5.784,737,
5.791,741,
5.798,733,
5.805,732,
5.812,738,
5.82,733,
5.827,737,
5.834,742,
5.841,732,
5.848,734,
5.855,739,
5.862,733,
5.87,739,
5.877,738,
5.884,734,
5.891,742,
5.898,737,
5.905,733,
5.912,745,
5.92,734,
5.927,735,
5.934,740,
5.941,730,
5.948,737,
5.955,740,
5.962,730,
5.97,736,
5.977,732,
5.984,736,
5.991,737,
5.998,732,
6.005,744,
6.012,742,
6.02,735,
6.027,745,
6.034,742,
6.041,737,
6.048,748,
6.055,737,
6.062,742,
6.07,742,
6.077,735,
6.084,743,
6.091,738,
6.098,731,
6.105,741,
6.112,735,
6.12,728,
6.127,734,
6.134,738,
6.141,763,
6.148,803,
6.155,825,
6.162,812,
6.17,775,
6.177,735,
6.184,723,
6.191,725,
6.198,725,
6.205,726,
6.212,729,
6.22,723,
6.227,730,
6.234,728,
6.241,727,
6.248,736,
6.255,729,
6.262,733,
6.27,739,
6.277,730,
6.284,729,
6.291,739,
6.298,733,
6.305,737,
6.312,740,
6.32,733,
6.327,740,
6.334,741,
6.341,739,
6.348,740,
6.355,740,
6.362,742,
6.37,748,
6.377,741,
6.384,744,
6.391,751,
6.398,740,
6.405,746,
6.412,754,
6.42,743,
6.427,749,
6.434,748,
6.441,744,
6.448,740,
6.455,740,
6.462,738,
6.47,739,
6.477,737,
6.484,732,
6.491,740,
6.498,727,
6.505,731,
6.512,730,
6.52,739,
6.527,734,
6.534,728,
6.541,735,
6.548,739,
6.555,729,
6.562,739,
6.57,739,
6.577,734,
6.584,744,
6.591,735,
6.598,734,
6.605,743,
6.612,734,
6.62,732,
6.627,737,
6.634,730,
6.641,736,
6.648,736,
6.655,728,
6.662,733,
6.67,738,
6.677,735,
6.684,737,
6.691,737,
6.698,739,
6.705,742,
6.712,738,
6.72,742,
6.727,739,
6.734,738,
6.741,733,
6.748,743,
6.755,736,
6.762,736,
6.77,738,
6.777,728,
6.784,737,
6.791,732,
6.798,726,
6.805,732,
6.812,734,
6.82,759,
6.827,800,
6.834,823,
6.841,823,
6.848,780,
6.855,740,
6.862,725,
6.87,721,
6.877,718,
6.884,727,
6.891,725,
6.898,725,
6.905,727,
6.912,725,
6.92,727,
6.927,737,
6.934,728,
6.941,728,
6.948,733,
6.955,730,
6.962,737,
6.97,738,
6.977,729,
6.984,735,
6.991,739,
6.998,732,
7.005,742,
7.012,737,
7.02,734,
7.027,742,
7.034,739,
7.041,747,
7.048,747,
7.055,740,
7.062,747,
7.07,738,
7.077,742,
7.084,746,
7.091,743,
7.098,743,
7.105,746,
7.112,734,
7.12,744,
7.127,738,
7.134,734,
7.141,737,
7.148,736,
7.155,729,
7.162,737,
7.17,732,
7.177,731,
7.184,738,
7.191,726,
7.198,731,
7.205,735,
7.212,731,
7.22,733,
7.227,735,
7.234,735,
7.241,738,
7.248,736,
7.255,732,
7.262,736,
7.27,734,
7.277,732,
7.284,739,
7.291,730,
7.298,735,
7.305,737,
7.312,729,
7.32,739,
7.327,737,
7.334,729,
7.341,737,
7.348,736,
7.355,734,
7.362,740,
7.37,738,
7.377,734,
7.384,745,
7.391,742,
7.398,737,
7.405,745,
7.412,732,
7.42,740,
7.427,736,
7.434,730,
7.441,735,
7.448,732,
7.455,728,
7.462,736,
7.47,729,
7.477,729,
7.484,756,
7.491,788,
7.498,826,
7.505,829,
7.512,781,
7.52,742,
7.527,727,
7.534,719,
7.541,722,
7.548,727,
7.555,720,
7.562,725,
7.57,725,
7.577,723,
7.584,730,
7.591,726,
7.598,721,
7.605,727,
7.612,728,
7.62,738,
7.627,730,
7.634,731,
7.641,734,
7.648,727,
7.655,742,
7.662,737,
7.67,735,
7.677,741,
7.684,737,
7.691,737,
7.698,746,
7.705,739,
7.712,740,
7.72,740,
7.727,739,
7.734,743,
7.741,749,
7.748,739,
7.755,744,
7.762,746,
7.77,735,
7.777,743,
7.784,742,
7.794,737,
7.801,741,
7.808,731,
7.815,733,
7.822,735,
7.829,726,
7.837,732,
7.844,737,
7.851,733,
7.858,734,
7.865,736,
7.872,731,
7.879,735,
7.887,739,
7.894,731,
7.901,737,
7.908,732,
7.915,731,
7.922,740,
7.929,734,
7.937,733,
7.944,738,
7.951,732,
7.958,735,
7.965,741,
7.972,729,
7.979,732,
7.987,743,
7.994,732,
8.001,738,
8.008,739,
8.015,734,
8.022,739,
8.029,741,
8.037,735,
8.044,744,
8.051,741,
8.058,739,
8.065,745,
8.072,735,
